filtering_criteria	protein_count	gene_count	protein_count|blast	gene_count|blast	protein_count|blast|Homo_sapiens	protein_count|blast|nonHuman_Primates	protein_count|blast|nonPrimates_mammals	protein_count|blast|nonMammal_Metazoa	protein_count|blast|Bacteria	protein_count|blast|Viruses	protein_count|blast|Fungi	protein_count|blast|Viridiplantae	protein_count|blast|Archaea	protein_count|blast|other	gene_count|blast|Homo_sapiens	gene_count|blast|nonHuman_Primates	gene_count|blast|nonPrimates_mammals	gene_count|blast|nonMammal_Metazoa	gene_count|blast|Bacteria	gene_count|blast|Viruses	gene_count|blast|Fungi	gene_count|blast|Viridiplantae	gene_count|blast|Archaea	gene_count|blast|other
relaxed	281064	29431	82398	15023	27377	33907	9992	1815	8036	51	272	58	77	813	5412	5542	1573	357	1848	13	76	20	15	167
stringent	20028	7774	11571	4853	5052	4220	1621	221	351	0	14	0	5	87	2101	1820	609	87	177	0	10	0	3	46
strictest	6840	3737	5243	2867	2330	1909	787	103	73	0	2	0	1	38	1251	1092	397	47	54	0	1	0	1	24
relaxed|PepQuery	76572	16519	26126	8341	9726	10169	3518	554	1828	10	81	13	17	210	3242	3098	1012	169	691	4	32	8	6	79
stringent|PepQuery	13863	6038	9308	4136	4215	3321	1323	174	208	0	6	0	2	59	1843	1540	527	68	123	0	4	0	2	29
strictest|PepQuery	6211	3449	4976	2746	2247	1787	745	96	62	0	2	0	1	36	1218	1036	374	45	48	0	1	0	1	23
HUPO|relaxed	32153	10617	12533	5796	4081	5137	1977	291	874	6	48	10	9	100	2020	2281	820	112	460	2	32	5	6	58
HUPO|stringent	1979	1414	1902	1361	688	822	319	53	1	0	0	0	0	19	489	613	209	34	1	0	0	0	0	15
HUPO|strictest	917	746	909	740	310	405	152	29	0	0	0	0	0	13	242	345	119	23	0	0	0	0	0	11
HUPO|relaxed|PepQuery	4018	2646	2843	1922	1042	1179	488	70	38	0	0	0	1	25	708	831	294	40	31	0	0	0	0	18
HUPO|stringent|PepQuery	1619	1171	1586	1153	585	669	275	40	1	0	0	0	0	16	421	513	180	26	1	0	0	0	0	12
HUPO|strictest|PepQuery	865	703	857	697	299	378	141	27	0	0	0	0	0	12	233	325	108	21	0	0	0	0	0	10
