keyword	protein_len	gencode_loc	pr_count
relaxed	100-200	All_CDS	197
relaxed	100-200	All_UTR	995
relaxed	100-200	All_exon_coding	1288
relaxed	100-200	All_exon_noncoding	1433
relaxed	100-200	All_intergene	3338
relaxed	100-200	All_intron	6355
relaxed	100-200	All_transcript	103
relaxed	100-200	All_transcript_coding	5734
relaxed	100-200	All_transcript_noncoding	744
relaxed	100-200	other	1437
relaxed	200-500	All_CDS	318
relaxed	200-500	All_UTR	93
relaxed	200-500	All_exon_coding	2073
relaxed	200-500	All_exon_noncoding	363
relaxed	200-500	All_intergene	492
relaxed	200-500	All_intron	713
relaxed	200-500	All_transcript	120
relaxed	200-500	All_transcript_coding	6501
relaxed	200-500	All_transcript_noncoding	238
relaxed	200-500	other	1068
relaxed	50-100	All_CDS	204
relaxed	50-100	All_UTR	3333
relaxed	50-100	All_exon_coding	986
relaxed	50-100	All_exon_noncoding	2778
relaxed	50-100	All_intergene	11161
relaxed	50-100	All_intron	25391
relaxed	50-100	All_transcript	61
relaxed	50-100	All_transcript_coding	4743
relaxed	50-100	All_transcript_noncoding	983
relaxed	50-100	other	1315
relaxed	<= 50	All_CDS	198
relaxed	<= 50	All_UTR	3615
relaxed	<= 50	All_exon_coding	400
relaxed	<= 50	All_exon_noncoding	2210
relaxed	<= 50	All_intergene	11460
relaxed	<= 50	All_intron	29030
relaxed	<= 50	All_transcript	11
relaxed	<= 50	All_transcript_coding	2010
relaxed	<= 50	All_transcript_noncoding	439
relaxed	<= 50	other	513
relaxed	>500	All_CDS	159
relaxed	>500	All_UTR	4
relaxed	>500	All_exon_coding	1276
relaxed	>500	All_exon_noncoding	21
relaxed	>500	All_intergene	16
relaxed	>500	All_intron	30
relaxed	>500	All_transcript	39
relaxed	>500	All_transcript_coding	2601
relaxed	>500	All_transcript_noncoding	26
relaxed	>500	other	215
relaxed|pepquery	100-200	All_CDS	96
relaxed|pepquery	100-200	All_UTR	295
relaxed|pepquery	100-200	All_exon_coding	649
relaxed|pepquery	100-200	All_exon_noncoding	719
relaxed|pepquery	100-200	All_intergene	829
relaxed|pepquery	100-200	All_intron	1591
relaxed|pepquery	100-200	All_transcript	37
relaxed|pepquery	100-200	All_transcript_coding	2165
relaxed|pepquery	100-200	All_transcript_noncoding	244
relaxed|pepquery	100-200	other	563
relaxed|pepquery	200-500	All_CDS	184
relaxed|pepquery	200-500	All_UTR	30
relaxed|pepquery	200-500	All_exon_coding	1220
relaxed|pepquery	200-500	All_exon_noncoding	212
relaxed|pepquery	200-500	All_intergene	124
