keyword	pride_group	gencode_loc	pr_count
relaxed	Organism part	All_CDS	282
relaxed	Organism part	All_UTR	2296
relaxed	Organism part	All_exon_coding	1563
relaxed	Organism part	All_exon_noncoding	1583
relaxed	Organism part	All_intergene	7706
relaxed	Organism part	All_intron	17975
relaxed	Organism part	All_transcript	93
relaxed	Organism part	All_transcript_coding	6062
relaxed	Organism part	All_transcript_noncoding	709
relaxed	Organism part	other	1215
relaxed	Organism part,cancer	All_CDS	46
relaxed	Organism part,cancer	All_UTR	330
relaxed	Organism part,cancer	All_exon_coding	291
relaxed	Organism part,cancer	All_exon_noncoding	293
relaxed	Organism part,cancer	All_intergene	987
relaxed	Organism part,cancer	All_intron	2356
relaxed	Organism part,cancer	All_transcript	23
relaxed	Organism part,cancer	All_transcript_coding	977
relaxed	Organism part,cancer	All_transcript_noncoding	105
relaxed	Organism part,cancer	other	203
relaxed	Organism part,cancer,cell line	All_CDS	120
relaxed	Organism part,cancer,cell line	All_UTR	557
relaxed	Organism part,cancer,cell line	All_exon_coding	839
relaxed	Organism part,cancer,cell line	All_exon_noncoding	1156
relaxed	Organism part,cancer,cell line	All_intergene	1713
relaxed	Organism part,cancer,cell line	All_intron	3948
relaxed	Organism part,cancer,cell line	All_transcript	51
relaxed	Organism part,cancer,cell line	All_transcript_coding	2297
relaxed	Organism part,cancer,cell line	All_transcript_noncoding	253
relaxed	Organism part,cancer,cell line	other	559
relaxed	Organism part,cell line	All_CDS	87
relaxed	Organism part,cell line	All_UTR	435
relaxed	Organism part,cell line	All_exon_coding	502
relaxed	Organism part,cell line	All_exon_noncoding	475
relaxed	Organism part,cell line	All_intergene	1488
relaxed	Organism part,cell line	All_intron	3403
relaxed	Organism part,cell line	All_transcript	18
relaxed	Organism part,cell line	All_transcript_coding	1551
relaxed	Organism part,cell line	All_transcript_noncoding	163
relaxed	Organism part,cell line	other	341
relaxed	cancer	All_CDS	173
relaxed	cancer	All_UTR	1507
relaxed	cancer	All_exon_coding	798
relaxed	cancer	All_exon_noncoding	1077
relaxed	cancer	All_intergene	4965
relaxed	cancer	All_intron	11348
relaxed	cancer	All_transcript	46
relaxed	cancer	All_transcript_coding	3444
relaxed	cancer	All_transcript_noncoding	360
relaxed	cancer	other	723
relaxed	cancer,cell line	All_CDS	42
relaxed	cancer,cell line	All_UTR	357
relaxed	cancer,cell line	All_exon_coding	353
relaxed	cancer,cell line	All_exon_noncoding	360
relaxed	cancer,cell line	All_intergene	1205
relaxed	cancer,cell line	All_intron	2825
relaxed	cancer,cell line	All_transcript	17
relaxed	cancer,cell line	All_transcript_coding	1156
relaxed	cancer,cell line	All_transcript_noncoding	111
relaxed	cancer,cell line	other	250
relaxed	cell line	All_CDS	326
relaxed	cell line	All_UTR	2558
relaxed	cell line	All_exon_coding	1677
relaxed	cell line	All_exon_noncoding	1861
relaxed	cell line	All_intergene	8403
relaxed	cell line	All_intron	19664
relaxed	cell line	All_transcript	86
relaxed	cell line	All_transcript_coding	6102
relaxed	cell line	All_transcript_noncoding	729
relaxed	cell line	other	1257
relaxed|pepquery	Organism part	All_CDS	119
relaxed|pepquery	Organism part	All_UTR	493
relaxed|pepquery	Organism part	All_exon_coding	639
relaxed|pepquery	Organism part	All_exon_noncoding	411
relaxed|pepquery	Organism part	All_intergene	1625
relaxed|pepquery	Organism part	All_intron	3750
relaxed|pepquery	Organism part	All_transcript	28
relaxed|pepquery	Organism part	All_transcript_coding	1965
relaxed|pepquery	Organism part	All_transcript_noncoding	154
relaxed|pepquery	Organism part	other	389
relaxed|pepquery	Organism part,cancer	All_CDS	26
relaxed|pepquery	Organism part,cancer	All_UTR	108
relaxed|pepquery	Organism part,cancer	All_exon_coding	180
relaxed|pepquery	Organism part,cancer	All_exon_noncoding	132
relaxed|pepquery	Organism part,cancer	All_intergene	309
relaxed|pepquery	Organism part,cancer	All_intron	825
relaxed|pepquery	Organism part,cancer	All_transcript	14
relaxed|pepquery	Organism part,cancer	All_transcript_coding	429
relaxed|pepquery	Organism part,cancer	All_transcript_noncoding	34
relaxed|pepquery	Organism part,cancer	other	72
relaxed|pepquery	Organism part,cancer,cell line	All_CDS	98
relaxed|pepquery	Organism part,cancer,cell line	All_UTR	314
relaxed|pepquery	Organism part,cancer,cell line	All_exon_coding	705
relaxed|pepquery	Organism part,cancer,cell line	All_exon_noncoding	902
relaxed|pepquery	Organism part,cancer,cell line	All_intergene	970
relaxed|pepquery	Organism part,cancer,cell line	All_intron	2182
relaxed|pepquery	Organism part,cancer,cell line	All_transcript	42
