keyword	blast_species	gencode_loc	pr_count
relaxed	Bacteria	All_CDS	3
relaxed	Bacteria	All_UTR	80
relaxed	Bacteria	All_exon_coding	3
relaxed	Bacteria	All_exon_noncoding	105
relaxed	Bacteria	All_intergene	1231
relaxed	Bacteria	All_intron	2297
relaxed	Bacteria	All_transcript	1
relaxed	Bacteria	All_transcript_coding	70
relaxed	Bacteria	All_transcript_noncoding	30
relaxed	Bacteria	other	23
relaxed	Homo_sapiens	All_CDS	515
relaxed	Homo_sapiens	All_UTR	194
relaxed	Homo_sapiens	All_exon_coding	2901
relaxed	Homo_sapiens	All_exon_noncoding	726
relaxed	Homo_sapiens	All_intergene	768
relaxed	Homo_sapiens	All_intron	1433
relaxed	Homo_sapiens	All_transcript	114
relaxed	Homo_sapiens	All_transcript_coding	8121
relaxed	Homo_sapiens	All_transcript_noncoding	282
relaxed	Homo_sapiens	other	786
relaxed	nonHuman_Primates	All_CDS	131
relaxed	nonHuman_Primates	All_UTR	483
relaxed	nonHuman_Primates	All_exon_coding	1216
relaxed	nonHuman_Primates	All_exon_noncoding	1490
relaxed	nonHuman_Primates	All_intergene	2558
relaxed	nonHuman_Primates	All_intron	5573
relaxed	nonHuman_Primates	All_transcript	101
relaxed	nonHuman_Primates	All_transcript_coding	4461
relaxed	nonHuman_Primates	All_transcript_noncoding	472
relaxed	nonHuman_Primates	other	1124
relaxed	nonMammal_Metazoa	All_CDS	18
relaxed	nonMammal_Metazoa	All_UTR	17
relaxed	nonMammal_Metazoa	All_exon_coding	51
relaxed	nonMammal_Metazoa	All_exon_noncoding	101
relaxed	nonMammal_Metazoa	All_intergene	190
relaxed	nonMammal_Metazoa	All_intron	346
relaxed	nonMammal_Metazoa	All_transcript	2
relaxed	nonMammal_Metazoa	All_transcript_coding	159
relaxed	nonMammal_Metazoa	All_transcript_noncoding	14
relaxed	nonMammal_Metazoa	other	22
relaxed	nonPrimates_mammals	All_CDS	113
relaxed	nonPrimates_mammals	All_UTR	118
relaxed	nonPrimates_mammals	All_exon_coding	600
relaxed	nonPrimates_mammals	All_exon_noncoding	538
relaxed	nonPrimates_mammals	All_intergene	584
relaxed	nonPrimates_mammals	All_intron	1127
relaxed	nonPrimates_mammals	All_transcript	21
relaxed	nonPrimates_mammals	All_transcript_coding	1764
relaxed	nonPrimates_mammals	All_transcript_noncoding	116
relaxed	nonPrimates_mammals	other	339
relaxed	otherSum	All_CDS	4
relaxed	otherSum	All_UTR	22
relaxed	otherSum	All_exon_coding	23
relaxed	otherSum	All_exon_noncoding	39
relaxed	otherSum	All_intergene	154
relaxed	otherSum	All_intron	286
relaxed	otherSum	All_transcript	3
relaxed	otherSum	All_transcript_coding	61
relaxed	otherSum	All_transcript_noncoding	13
relaxed	otherSum	other	16
relaxed|pepquery	Bacteria	All_CDS	0
relaxed|pepquery	Bacteria	All_UTR	18
relaxed|pepquery	Bacteria	All_exon_coding	3
relaxed|pepquery	Bacteria	All_exon_noncoding	28
relaxed|pepquery	Bacteria	All_intergene	294
relaxed|pepquery	Bacteria	All_intron	528
relaxed|pepquery	Bacteria	All_transcript	0
relaxed|pepquery	Bacteria	All_transcript_coding	20
relaxed|pepquery	Bacteria	All_transcript_noncoding	12
relaxed|pepquery	Bacteria	other	4
relaxed|pepquery	Homo_sapiens	All_CDS	286
relaxed|pepquery	Homo_sapiens	All_UTR	68
relaxed|pepquery	Homo_sapiens	All_exon_coding	1687
relaxed|pepquery	Homo_sapiens	All_exon_noncoding	398
relaxed|pepquery	Homo_sapiens	All_intergene	167
relaxed|pepquery	Homo_sapiens	All_intron	323
