keyword	protein_len	gencode_loc	blast_species	pride_group	pr_count
relaxed	>500	All_CDS	nonHuman_Primates	Organism part,cancer	2
relaxed	>500	All_CDS	nonHuman_Primates	cancer	2
relaxed	>500	All_CDS	nonHuman_Primates	cancer,cell line	1
relaxed	>500	All_CDS	nonHuman_Primates	Organism part,cell line	4
relaxed	>500	All_CDS	nonHuman_Primates	Organism part,cancer,cell line	6
relaxed	>500	All_CDS	nonHuman_Primates	Organism part	3
relaxed	>500	All_CDS	nonHuman_Primates	cell line	4
relaxed	>500	All_CDS	nonPrimates_mammals	Organism part,cancer	0
relaxed	>500	All_CDS	nonPrimates_mammals	cancer	0
relaxed	>500	All_CDS	nonPrimates_mammals	cancer,cell line	1
relaxed	>500	All_CDS	nonPrimates_mammals	Organism part,cell line	1
relaxed	>500	All_CDS	nonPrimates_mammals	Organism part,cancer,cell line	2
relaxed	>500	All_CDS	nonPrimates_mammals	Organism part	3
relaxed	>500	All_CDS	nonPrimates_mammals	cell line	2
relaxed	>500	All_CDS	nonMammal_Metazoa	Organism part,cancer	0
relaxed	>500	All_CDS	nonMammal_Metazoa	cancer	0
relaxed	>500	All_CDS	nonMammal_Metazoa	cancer,cell line	1
relaxed	>500	All_CDS	nonMammal_Metazoa	Organism part,cell line	0
relaxed	>500	All_CDS	nonMammal_Metazoa	Organism part,cancer,cell line	1
relaxed	>500	All_CDS	nonMammal_Metazoa	Organism part	0
relaxed	>500	All_CDS	nonMammal_Metazoa	cell line	0
relaxed	>500	All_CDS	Homo_sapiens	Organism part,cancer	5
relaxed	>500	All_CDS	Homo_sapiens	cancer	15
relaxed	>500	All_CDS	Homo_sapiens	cancer,cell line	7
relaxed	>500	All_CDS	Homo_sapiens	Organism part,cell line	10
relaxed	>500	All_CDS	Homo_sapiens	Organism part,cancer,cell line	18
relaxed	>500	All_CDS	Homo_sapiens	Organism part	25
relaxed	>500	All_CDS	Homo_sapiens	cell line	45
relaxed	>500	All_CDS	otherSum	Organism part,cancer	1
relaxed	>500	All_CDS	otherSum	cancer	0
relaxed	>500	All_CDS	otherSum	cancer,cell line	0
relaxed	>500	All_CDS	otherSum	Organism part,cell line	0
relaxed	>500	All_CDS	otherSum	Organism part,cancer,cell line	0
relaxed	>500	All_CDS	otherSum	Organism part	0
relaxed	>500	All_CDS	otherSum	cell line	0
relaxed	>500	All_CDS	NA	Organism part,cancer	0
relaxed	>500	All_CDS	NA	cancer	0
relaxed	>500	All_CDS	NA	cancer,cell line	0
relaxed	>500	All_CDS	NA	Organism part,cell line	0
relaxed	>500	All_CDS	NA	Organism part,cancer,cell line	0
relaxed	>500	All_CDS	NA	Organism part	0
relaxed	>500	All_CDS	NA	cell line	0
relaxed	>500	All_CDS	Bacteria	Organism part,cancer	0
relaxed	>500	All_CDS	Bacteria	cancer	0
relaxed	>500	All_CDS	Bacteria	cancer,cell line	0
relaxed	>500	All_CDS	Bacteria	Organism part,cell line	0
relaxed	>500	All_CDS	Bacteria	Organism part,cancer,cell line	0
relaxed	>500	All_CDS	Bacteria	Organism part	0
relaxed	>500	All_CDS	Bacteria	cell line	0
relaxed	>500	All_transcript_noncoding	nonHuman_Primates	Organism part,cancer	0
relaxed	>500	All_transcript_noncoding	nonHuman_Primates	cancer	3
relaxed	>500	All_transcript_noncoding	nonHuman_Primates	cancer,cell line	2
relaxed	>500	All_transcript_noncoding	nonHuman_Primates	Organism part,cell line	2
relaxed	>500	All_transcript_noncoding	nonHuman_Primates	Organism part,cancer,cell line	4
relaxed	>500	All_transcript_noncoding	nonHuman_Primates	Organism part	3
relaxed	>500	All_transcript_noncoding	nonHuman_Primates	cell line	1
relaxed	>500	All_transcript_noncoding	nonPrimates_mammals	Organism part,cancer	1
relaxed	>500	All_transcript_noncoding	nonPrimates_mammals	cancer	0
relaxed	>500	All_transcript_noncoding	nonPrimates_mammals	cancer,cell line	0
relaxed	>500	All_transcript_noncoding	nonPrimates_mammals	Organism part,cell line	0
relaxed	>500	All_transcript_noncoding	nonPrimates_mammals	Organism part,cancer,cell line	0
relaxed	>500	All_transcript_noncoding	nonPrimates_mammals	Organism part	0
relaxed	>500	All_transcript_noncoding	nonPrimates_mammals	cell line	0
relaxed	>500	All_transcript_noncoding	nonMammal_Metazoa	Organism part,cancer	0
relaxed	>500	All_transcript_noncoding	nonMammal_Metazoa	cancer	0
relaxed	>500	All_transcript_noncoding	nonMammal_Metazoa	cancer,cell line	0
relaxed	>500	All_transcript_noncoding	nonMammal_Metazoa	Organism part,cell line	0
relaxed	>500	All_transcript_noncoding	nonMammal_Metazoa	Organism part,cancer,cell line	0
relaxed	>500	All_transcript_noncoding	nonMammal_Metazoa	Organism part	0
relaxed	>500	All_transcript_noncoding	nonMammal_Metazoa	cell line	0
relaxed	>500	All_transcript_noncoding	Homo_sapiens	Organism part,cancer	0
relaxed	>500	All_transcript_noncoding	Homo_sapiens	cancer	3
relaxed	>500	All_transcript_noncoding	Homo_sapiens	cancer,cell line	0
relaxed	>500	All_transcript_noncoding	Homo_sapiens	Organism part,cell line	1
relaxed	>500	All_transcript_noncoding	Homo_sapiens	Organism part,cancer,cell line	2
relaxed	>500	All_transcript_noncoding	Homo_sapiens	Organism part	1
relaxed	>500	All_transcript_noncoding	Homo_sapiens	cell line	2
relaxed	>500	All_transcript_noncoding	otherSum	Organism part,cancer	0
relaxed	>500	All_transcript_noncoding	otherSum	cancer	0
relaxed	>500	All_transcript_noncoding	otherSum	cancer,cell line	0
relaxed	>500	All_transcript_noncoding	otherSum	Organism part,cell line	0
relaxed	>500	All_transcript_noncoding	otherSum	Organism part,cancer,cell line	0
relaxed	>500	All_transcript_noncoding	otherSum	Organism part	0
relaxed	>500	All_transcript_noncoding	otherSum	cell line	0
relaxed	>500	All_transcript_noncoding	NA	Organism part,cancer	0
relaxed	>500	All_transcript_noncoding	NA	cancer	0
relaxed	>500	All_transcript_noncoding	NA	cancer,cell line	1
relaxed	>500	All_transcript_noncoding	NA	Organism part,cell line	0
relaxed	>500	All_transcript_noncoding	NA	Organism part,cancer,cell line	0
relaxed	>500	All_transcript_noncoding	NA	Organism part	0
relaxed	>500	All_transcript_noncoding	NA	cell line	0
relaxed	>500	All_transcript_noncoding	Bacteria	Organism part,cancer	0
relaxed	>500	All_transcript_noncoding	Bacteria	cancer	0
relaxed	>500	All_transcript_noncoding	Bacteria	cancer,cell line	0
relaxed	>500	All_transcript_noncoding	Bacteria	Organism part,cell line	0
relaxed	>500	All_transcript_noncoding	Bacteria	Organism part,cancer,cell line	0
relaxed	>500	All_transcript_noncoding	Bacteria	Organism part	0
relaxed	>500	All_transcript_noncoding	Bacteria	cell line	0
relaxed	>500	All_exon_noncoding	nonHuman_Primates	Organism part,cancer	1
relaxed	>500	All_exon_noncoding	nonHuman_Primates	cancer	0
relaxed	>500	All_exon_noncoding	nonHuman_Primates	cancer,cell line	0
relaxed	>500	All_exon_noncoding	nonHuman_Primates	Organism part,cell line	3
relaxed	>500	All_exon_noncoding	nonHuman_Primates	Organism part,cancer,cell line	2
relaxed	>500	All_exon_noncoding	nonHuman_Primates	Organism part	2
relaxed	>500	All_exon_noncoding	nonHuman_Primates	cell line	6
relaxed	>500	All_exon_noncoding	nonPrimates_mammals	Organism part,cancer	0
relaxed	>500	All_exon_noncoding	nonPrimates_mammals	cancer	0
relaxed	>500	All_exon_noncoding	nonPrimates_mammals	cancer,cell line	0
relaxed	>500	All_exon_noncoding	nonPrimates_mammals	Organism part,cell line	0
relaxed	>500	All_exon_noncoding	nonPrimates_mammals	Organism part,cancer,cell line	0
relaxed	>500	All_exon_noncoding	nonPrimates_mammals	Organism part	0
relaxed	>500	All_exon_noncoding	nonPrimates_mammals	cell line	0
relaxed	>500	All_exon_noncoding	nonMammal_Metazoa	Organism part,cancer	0
relaxed	>500	All_exon_noncoding	nonMammal_Metazoa	cancer	0
relaxed	>500	All_exon_noncoding	nonMammal_Metazoa	cancer,cell line	0
relaxed	>500	All_exon_noncoding	nonMammal_Metazoa	Organism part,cell line	0
relaxed	>500	All_exon_noncoding	nonMammal_Metazoa	Organism part,cancer,cell line	0
relaxed	>500	All_exon_noncoding	nonMammal_Metazoa	Organism part	0
relaxed	>500	All_exon_noncoding	nonMammal_Metazoa	cell line	0
relaxed	>500	All_exon_noncoding	Homo_sapiens	Organism part,cancer	0
relaxed	>500	All_exon_noncoding	Homo_sapiens	cancer	2
relaxed	>500	All_exon_noncoding	Homo_sapiens	cancer,cell line	1
relaxed	>500	All_exon_noncoding	Homo_sapiens	Organism part,cell line	0
relaxed	>500	All_exon_noncoding	Homo_sapiens	Organism part,cancer,cell line	0
relaxed	>500	All_exon_noncoding	Homo_sapiens	Organism part	3
relaxed	>500	All_exon_noncoding	Homo_sapiens	cell line	0
relaxed	>500	All_exon_noncoding	otherSum	Organism part,cancer	0
relaxed	>500	All_exon_noncoding	otherSum	cancer	0
relaxed	>500	All_exon_noncoding	otherSum	cancer,cell line	0
relaxed	>500	All_exon_noncoding	otherSum	Organism part,cell line	1
relaxed	>500	All_exon_noncoding	otherSum	Organism part,cancer,cell line	0
relaxed	>500	All_exon_noncoding	otherSum	Organism part	0
relaxed	>500	All_exon_noncoding	otherSum	cell line	0
relaxed	>500	All_exon_noncoding	NA	Organism part,cancer	0
relaxed	>500	All_exon_noncoding	NA	cancer	0
relaxed	>500	All_exon_noncoding	NA	cancer,cell line	0
relaxed	>500	All_exon_noncoding	NA	Organism part,cell line	0
relaxed	>500	All_exon_noncoding	NA	Organism part,cancer,cell line	0
relaxed	>500	All_exon_noncoding	NA	Organism part	0
relaxed	>500	All_exon_noncoding	NA	cell line	0
relaxed	>500	All_exon_noncoding	Bacteria	Organism part,cancer	0
relaxed	>500	All_exon_noncoding	Bacteria	cancer	0
relaxed	>500	All_exon_noncoding	Bacteria	cancer,cell line	0
relaxed	>500	All_exon_noncoding	Bacteria	Organism part,cell line	0
relaxed	>500	All_exon_noncoding	Bacteria	Organism part,cancer,cell line	0
relaxed	>500	All_exon_noncoding	Bacteria	Organism part	0
relaxed	>500	All_exon_noncoding	Bacteria	cell line	0
relaxed	>500	All_exon_coding	nonHuman_Primates	Organism part,cancer	18
relaxed	>500	All_exon_coding	nonHuman_Primates	cancer	34
relaxed	>500	All_exon_coding	nonHuman_Primates	cancer,cell line	25
