keyword	protein_len	pride_group	pr_count
relaxed	100-200	Organism part	6066
relaxed	100-200	Organism part,cancer	927
relaxed	100-200	Organism part,cancer,cell line	2184
relaxed	100-200	Organism part,cell line	1455
relaxed	100-200	cancer	3583
relaxed	100-200	cancer,cell line	1106
relaxed	100-200	cell line	6303
relaxed	200-500	Organism part	3123
relaxed	200-500	Organism part,cancer	613
relaxed	200-500	Organism part,cancer,cell line	1618
relaxed	200-500	Organism part,cell line	1015
relaxed	200-500	cancer	1735
relaxed	200-500	cancer,cell line	700
relaxed	200-500	cell line	3175
relaxed	50-100	Organism part	14849
relaxed	50-100	Organism part,cancer	2089
relaxed	50-100	Organism part,cancer,cell line	3636
relaxed	50-100	Organism part,cell line	2952
relaxed	50-100	cancer	9258
relaxed	50-100	cancer,cell line	2334
relaxed	50-100	cell line	15837
relaxed	<= 50	Organism part	14300
relaxed	<= 50	Organism part,cancer	1771
relaxed	<= 50	Organism part,cancer,cell line	3420
relaxed	<= 50	Organism part,cell line	2685
relaxed	<= 50	cancer	9308
relaxed	<= 50	cancer,cell line	2257
relaxed	<= 50	cell line	16145
relaxed	>500	Organism part	1146
relaxed	>500	Organism part,cancer	211
relaxed	>500	Organism part,cancer,cell line	635
relaxed	>500	Organism part,cell line	356
relaxed	>500	cancer	557
relaxed	>500	cancer,cell line	279
relaxed	>500	cell line	1203
relaxed|pepquery	100-200	Organism part	1576
relaxed|pepquery	100-200	Organism part,cancer	375
relaxed|pepquery	100-200	Organism part,cancer,cell line	1495
relaxed|pepquery	100-200	Organism part,cell line	630
relaxed|pepquery	100-200	cancer	924
relaxed|pepquery	100-200	cancer,cell line	426
relaxed|pepquery	100-200	cell line	1762
relaxed|pepquery	200-500	Organism part	1173
relaxed|pepquery	200-500	Organism part,cancer	297
relaxed|pepquery	200-500	Organism part,cancer,cell line	1255
relaxed|pepquery	200-500	Organism part,cell line	504
relaxed|pepquery	200-500	cancer	593
relaxed|pepquery	200-500	cancer,cell line	406
relaxed|pepquery	200-500	cell line	1267
relaxed|pepquery	50-100	Organism part	3255
relaxed|pepquery	50-100	Organism part,cancer	693
relaxed|pepquery	50-100	Organism part,cancer,cell line	2190
relaxed|pepquery	50-100	Organism part,cell line	1045
relaxed|pepquery	50-100	cancer	2084
relaxed|pepquery	50-100	cancer,cell line	905
relaxed|pepquery	50-100	cell line	3658
relaxed|pepquery	<= 50	Organism part	3063
relaxed|pepquery	<= 50	Organism part,cancer	644
relaxed|pepquery	<= 50	Organism part,cancer,cell line	1985
relaxed|pepquery	<= 50	Organism part,cell line	970
relaxed|pepquery	<= 50	cancer	2161
relaxed|pepquery	<= 50	cancer,cell line	869
relaxed|pepquery	<= 50	cell line	3618
relaxed|pepquery	>500	Organism part	506
relaxed|pepquery	>500	Organism part,cancer	120
relaxed|pepquery	>500	Organism part,cancer,cell line	523
relaxed|pepquery	>500	Organism part,cell line	248
relaxed|pepquery	>500	cancer	192
relaxed|pepquery	>500	cancer,cell line	172
relaxed|pepquery	>500	cell line	575
strictest	100-200	Organism part	111
strictest	100-200	Organism part,cancer	107
strictest	100-200	Organism part,cancer,cell line	594
strictest	100-200	Organism part,cell line	205
strictest	100-200	cancer	22
strictest	100-200	cancer,cell line	118
strictest	100-200	cell line	92
strictest	200-500	Organism part	136
strictest	200-500	Organism part,cancer	144
strictest	200-500	Organism part,cancer,cell line	689
strictest	200-500	Organism part,cell line	225
strictest	200-500	cancer	25
strictest	200-500	cancer,cell line	152
strictest	200-500	cell line	118
strictest	50-100	Organism part	81
strictest	50-100	Organism part,cancer	94
strictest	50-100	Organism part,cancer,cell line	432
strictest	50-100	Organism part,cell line	158
strictest	50-100	cancer	24
strictest	50-100	cancer,cell line	105
strictest	50-100	cell line	74
strictest	<= 50	Organism part	46
strictest	<= 50	Organism part,cancer	47
strictest	<= 50	Organism part,cancer,cell line	217
strictest	<= 50	Organism part,cell line	85
strictest	<= 50	cancer	19
strictest	<= 50	cancer,cell line	74
strictest	<= 50	cell line	44
strictest	>500	Organism part	74
strictest	>500	Organism part,cancer	66
strictest	>500	Organism part,cancer,cell line	309
strictest	>500	Organism part,cell line	141
strictest	>500	cancer	11
strictest	>500	cancer,cell line	71
strictest	>500	cell line	77
strictest|pepquery	100-200	Organism part	101
strictest|pepquery	100-200	Organism part,cancer	100
strictest|pepquery	100-200	Organism part,cancer,cell line	567
