keyword	protein_len	blast_species	pr_count
relaxed	100-200	Bacteria	670
relaxed	100-200	Homo_sapiens	3799
relaxed	100-200	nonHuman_Primates	4230
relaxed	100-200	nonMammal_Metazoa	272
relaxed	100-200	nonPrimates_mammals	1367
relaxed	100-200	otherSum	142
relaxed	200-500	Bacteria	182
relaxed	200-500	Homo_sapiens	5660
relaxed	200-500	nonHuman_Primates	3320
relaxed	200-500	nonMammal_Metazoa	113
relaxed	200-500	nonPrimates_mammals	1021
relaxed	200-500	otherSum	71
relaxed	50-100	Bacteria	1765
relaxed	50-100	Homo_sapiens	2360
relaxed	50-100	nonHuman_Primates	5430
relaxed	50-100	nonMammal_Metazoa	356
relaxed	50-100	nonPrimates_mammals	1752
relaxed	50-100	otherSum	218
relaxed	<= 50	Bacteria	1217
relaxed	<= 50	Homo_sapiens	952
relaxed	<= 50	nonHuman_Primates	3586
relaxed	<= 50	nonMammal_Metazoa	160
relaxed	<= 50	nonPrimates_mammals	989
relaxed	<= 50	otherSum	164
relaxed	>500	Bacteria	9
relaxed	>500	Homo_sapiens	3069
relaxed	>500	nonHuman_Primates	1043
relaxed	>500	nonMammal_Metazoa	19
relaxed	>500	nonPrimates_mammals	191
relaxed	>500	otherSum	26
relaxed|pepquery	100-200	Bacteria	174
relaxed|pepquery	100-200	Homo_sapiens	1627
relaxed|pepquery	100-200	nonHuman_Primates	1697
relaxed|pepquery	100-200	nonMammal_Metazoa	107
relaxed|pepquery	100-200	nonPrimates_mammals	656
relaxed|pepquery	100-200	otherSum	48
relaxed|pepquery	200-500	Bacteria	47
relaxed|pepquery	200-500	Homo_sapiens	2727
relaxed|pepquery	200-500	nonHuman_Primates	1688
relaxed|pepquery	200-500	nonMammal_Metazoa	40
relaxed|pepquery	200-500	nonPrimates_mammals	525
relaxed|pepquery	200-500	otherSum	28
relaxed|pepquery	50-100	Bacteria	408
relaxed|pepquery	50-100	Homo_sapiens	799
relaxed|pepquery	50-100	nonHuman_Primates	1566
relaxed|pepquery	50-100	nonMammal_Metazoa	117
relaxed|pepquery	50-100	nonPrimates_mammals	678
relaxed|pepquery	50-100	otherSum	52
relaxed|pepquery	<= 50	Bacteria	277
relaxed|pepquery	<= 50	Homo_sapiens	272
relaxed|pepquery	<= 50	nonHuman_Primates	845
relaxed|pepquery	<= 50	nonMammal_Metazoa	50
relaxed|pepquery	<= 50	nonPrimates_mammals	343
relaxed|pepquery	<= 50	otherSum	39
relaxed|pepquery	>500	Bacteria	1
relaxed|pepquery	>500	Homo_sapiens	1610
relaxed|pepquery	>500	nonHuman_Primates	592
relaxed|pepquery	>500	nonMammal_Metazoa	8
relaxed|pepquery	>500	nonPrimates_mammals	105
relaxed|pepquery	>500	otherSum	14
strictest	100-200	Bacteria	12
strictest	100-200	Homo_sapiens	435
strictest	100-200	nonHuman_Primates	434
strictest	100-200	nonMammal_Metazoa	24
strictest	100-200	nonPrimates_mammals	220
strictest	100-200	otherSum	13
strictest	200-500	Bacteria	1
strictest	200-500	Homo_sapiens	801
strictest	200-500	nonHuman_Primates	504
strictest	200-500	nonMammal_Metazoa	12
strictest	200-500	nonPrimates_mammals	144
strictest	200-500	otherSum	7
