keyword	pride_group	blast_species	pr_count
relaxed	Organism part	Bacteria	1155
relaxed	Organism part	Homo_sapiens	4400
relaxed	Organism part	nonHuman_Primates	4917
relaxed	Organism part	nonMammal_Metazoa	221
relaxed	Organism part	nonPrimates_mammals	1300
relaxed	Organism part	otherSum	185
relaxed	Organism part,cancer	Bacteria	139
relaxed	Organism part,cancer	Homo_sapiens	740
relaxed	Organism part,cancer	nonHuman_Primates	725
relaxed	Organism part,cancer	nonMammal_Metazoa	40
relaxed	Organism part,cancer	nonPrimates_mammals	224
relaxed	Organism part,cancer	otherSum	32
relaxed	Organism part,cancer,cell line	Bacteria	240
relaxed	Organism part,cancer,cell line	Homo_sapiens	1930
relaxed	Organism part,cancer,cell line	nonHuman_Primates	2038
relaxed	Organism part,cancer,cell line	nonMammal_Metazoa	119
relaxed	Organism part,cancer,cell line	nonPrimates_mammals	821
relaxed	Organism part,cancer,cell line	otherSum	61
relaxed	Organism part,cell line	Bacteria	234
relaxed	Organism part,cell line	Homo_sapiens	1113
relaxed	Organism part,cell line	nonHuman_Primates	1172
relaxed	Organism part,cell line	nonMammal_Metazoa	65
relaxed	Organism part,cell line	nonPrimates_mammals	465
relaxed	Organism part,cell line	otherSum	43
relaxed	cancer	Bacteria	712
relaxed	cancer	Homo_sapiens	2392
relaxed	cancer	nonHuman_Primates	2850
relaxed	cancer	nonMammal_Metazoa	146
relaxed	cancer	nonPrimates_mammals	725
relaxed	cancer	otherSum	91
relaxed	cancer,cell line	Bacteria	174
relaxed	cancer,cell line	Homo_sapiens	838
relaxed	cancer,cell line	nonHuman_Primates	904
relaxed	cancer,cell line	nonMammal_Metazoa	59
relaxed	cancer,cell line	nonPrimates_mammals	297
relaxed	cancer,cell line	otherSum	26
relaxed	cell line	Bacteria	1189
relaxed	cell line	Homo_sapiens	4427
relaxed	cell line	nonHuman_Primates	5003
relaxed	cell line	nonMammal_Metazoa	270
relaxed	cell line	nonPrimates_mammals	1488
relaxed	cell line	otherSum	183
relaxed|pepquery	Organism part	Bacteria	214
relaxed|pepquery	Organism part	Homo_sapiens	1589
relaxed|pepquery	Organism part	nonHuman_Primates	1340
relaxed|pepquery	Organism part	nonMammal_Metazoa	57
relaxed|pepquery	Organism part	nonPrimates_mammals	408
relaxed|pepquery	Organism part	otherSum	40
relaxed|pepquery	Organism part,cancer	Bacteria	40
relaxed|pepquery	Organism part,cancer	Homo_sapiens	402
relaxed|pepquery	Organism part,cancer	nonHuman_Primates	299
relaxed|pepquery	Organism part,cancer	nonMammal_Metazoa	15
relaxed|pepquery	Organism part,cancer	nonPrimates_mammals	105
relaxed|pepquery	Organism part,cancer	otherSum	12
relaxed|pepquery	Organism part,cancer,cell line	Bacteria	134
relaxed|pepquery	Organism part,cancer,cell line	Homo_sapiens	1562
relaxed|pepquery	Organism part,cancer,cell line	nonHuman_Primates	1523
relaxed|pepquery	Organism part,cancer,cell line	nonMammal_Metazoa	91
relaxed|pepquery	Organism part,cancer,cell line	nonPrimates_mammals	635
relaxed|pepquery	Organism part,cancer,cell line	otherSum	44
relaxed|pepquery	Organism part,cell line	Bacteria	71
relaxed|pepquery	Organism part,cell line	Homo_sapiens	636
relaxed|pepquery	Organism part,cell line	nonHuman_Primates	556
relaxed|pepquery	Organism part,cell line	nonMammal_Metazoa	30
relaxed|pepquery	Organism part,cell line	nonPrimates_mammals	256
relaxed|pepquery	Organism part,cell line	otherSum	15
relaxed|pepquery	cancer	Bacteria	158
relaxed|pepquery	cancer	Homo_sapiens	746
relaxed|pepquery	cancer	nonHuman_Primates	736
relaxed|pepquery	cancer	nonMammal_Metazoa	34
relaxed|pepquery	cancer	nonPrimates_mammals	225
relaxed|pepquery	cancer	otherSum	16
relaxed|pepquery	cancer,cell line	Bacteria	58
relaxed|pepquery	cancer,cell line	Homo_sapiens	465
relaxed|pepquery	cancer,cell line	nonHuman_Primates	453
relaxed|pepquery	cancer,cell line	nonMammal_Metazoa	26
