keyword	protein_len	gencode_loc	blast_species	pride_group	pr_count
loose	100-200	All_UTR	Bacteria	cancer	6
loose	100-200	All_UTR	Bacteria	cell line	6
loose	100-200	All_UTR	Bacteria	Organism part,cell line	1
loose	100-200	All_UTR	Bacteria	Organism part	14
loose	100-200	All_UTR	Bacteria	Organism part,cancer	2
loose	100-200	All_UTR	Bacteria	Organism part,cancer,cell line	0
loose	100-200	All_UTR	Bacteria	cancer,cell line	1
loose	100-200	All_UTR	nonHuman_Primates	cancer	38
loose	100-200	All_UTR	nonHuman_Primates	cell line	60
loose	100-200	All_UTR	nonHuman_Primates	Organism part,cell line	28
loose	100-200	All_UTR	nonHuman_Primates	Organism part	61
loose	100-200	All_UTR	nonHuman_Primates	Organism part,cancer	12
loose	100-200	All_UTR	nonHuman_Primates	Organism part,cancer,cell line	22
loose	100-200	All_UTR	nonHuman_Primates	cancer,cell line	17
loose	100-200	All_UTR	otherSum	cancer	4
loose	100-200	All_UTR	otherSum	cell line	4
loose	100-200	All_UTR	otherSum	Organism part,cell line	0
loose	100-200	All_UTR	otherSum	Organism part	3
loose	100-200	All_UTR	otherSum	Organism part,cancer	1
loose	100-200	All_UTR	otherSum	Organism part,cancer,cell line	1
loose	100-200	All_UTR	otherSum	cancer,cell line	0
loose	100-200	All_UTR	nonMammal_Metazoa	cancer	1
loose	100-200	All_UTR	nonMammal_Metazoa	cell line	5
loose	100-200	All_UTR	nonMammal_Metazoa	Organism part,cell line	0
loose	100-200	All_UTR	nonMammal_Metazoa	Organism part	3
loose	100-200	All_UTR	nonMammal_Metazoa	Organism part,cancer	0
loose	100-200	All_UTR	nonMammal_Metazoa	Organism part,cancer,cell line	2
loose	100-200	All_UTR	nonMammal_Metazoa	cancer,cell line	1
loose	100-200	All_UTR	Homo_sapiens	cancer	22
loose	100-200	All_UTR	Homo_sapiens	cell line	46
loose	100-200	All_UTR	Homo_sapiens	Organism part,cell line	17
loose	100-200	All_UTR	Homo_sapiens	Organism part	32
loose	100-200	All_UTR	Homo_sapiens	Organism part,cancer	5
loose	100-200	All_UTR	Homo_sapiens	Organism part,cancer,cell line	12
loose	100-200	All_UTR	Homo_sapiens	cancer,cell line	9
loose	100-200	All_UTR	NA	cancer	268
loose	100-200	All_UTR	NA	cell line	439
loose	100-200	All_UTR	NA	Organism part,cell line	115
loose	100-200	All_UTR	NA	Organism part	378
loose	100-200	All_UTR	NA	Organism part,cancer	94
loose	100-200	All_UTR	NA	Organism part,cancer,cell line	121
loose	100-200	All_UTR	NA	cancer,cell line	104
loose	100-200	All_UTR	nonPrimates_mammals	cancer	7
loose	100-200	All_UTR	nonPrimates_mammals	cell line	22
loose	100-200	All_UTR	nonPrimates_mammals	Organism part,cell line	7
loose	100-200	All_UTR	nonPrimates_mammals	Organism part	19
loose	100-200	All_UTR	nonPrimates_mammals	Organism part,cancer	8
loose	100-200	All_UTR	nonPrimates_mammals	Organism part,cancer,cell line	7
loose	100-200	All_UTR	nonPrimates_mammals	cancer,cell line	6
loose	100-200	All_transcript_coding	Bacteria	cancer	8
loose	100-200	All_transcript_coding	Bacteria	cell line	10
loose	100-200	All_transcript_coding	Bacteria	Organism part,cell line	3
loose	100-200	All_transcript_coding	Bacteria	Organism part	8
loose	100-200	All_transcript_coding	Bacteria	Organism part,cancer	2
